id,name_id,desc_id,name,desc,stage_id,material_ids
,名称ID,描述ID,,,该植物对应的物品ID
1,PLANT_1_NAME,PLANT_1_DESC,奇草,生长在灵气充沛之地的奇异草药，叶片呈淡蓝色，具有神奇的治愈效果,1,10
2,PLANT_2_NAME,PLANT_2_DESC,灵木,千年古树吸收天地灵气而成，木质坚硬且蕴含浓郁灵力,2,11
3,PLANT_3_NAME,PLANT_3_DESC,沙漠仙人掌,生长于西域流沙的神奇植物，能储存大量灵气和水分，刺中含灵药,1,12
4,PLANT_4_NAME,PLANT_4_DESC,寒霜雪莲,极北冰原的珍贵灵药，花瓣洁白如雪，蕴含极寒之气，能清热解毒,2,13
5,PLANT_5_NAME,PLANT_5_DESC,水灵芝,生长于天河河底的水系灵药，呈半透明蓝色，能增强修炼者水行灵力,2,14
6,PLANT_6_NAME,PLANT_6_DESC,雪绒花,万丈雪峰的高山植物，花瓣细小洁白，能抗严寒，具有安神镇静功效,1,15
7,PLANT_7_NAME,PLANT_7_DESC,千年古松,青云林海中的古老巨树，树龄超过千年，树脂含有丰富灵力,3,16
8,PLANT_8_NAME,PLANT_8_DESC,五谷灵稻,沃土良田中培育的灵性稻谷，粒粒饱满灵气，能增强修炼者体质,1,17
9,PLANT_9_NAME,PLANT_9_DESC,九曲清音竹,紫竹林中的变异异种，竹身九曲，内空外坚。风吹过时能发出九种不同的清越之音，直抵神魂，可涤荡心魔,2,19
10,PLANT_10_NAME,PLANT_10_DESC,聚星草,顽强生长在戈壁岩缝中的奇异植物，叶片坚硬如剑，夜间能引动并吞噬星辉,2,21
11,PLANT_11_NAME,PLANT_11_DESC,涅盘赤果,生长在蓬莱岛灵泉之眼的伴生神树上，三百年一开花，三百年一结果，蕴含庞大生机,3,22
