chinese,chinese_tw,english,ja_jp,vietnamese,category,subcategory,notes
练气,練氣,Qi Refinement,練気,Luyện Khí,cultivation,realm,First realm - refining qi
筑基,築基,Foundation Establishment,築基,Trúc Cơ,cultivation,realm,Building the foundation
金丹,金丹,Core Formation,結丹,Kim Đan,cultivation,realm,Forming the golden core
元婴,元嬰,Nascent Soul,元嬰,Nguyên Anh,cultivation,realm,Nascent soul emerges
前期,前期,Early Stage,初期,Sơ Kỳ,cultivation,stage,
中期,中期,Middle Stage,中期,Trung Kỳ,cultivation,stage,
后期,後期,Late Stage,後期,Hậu Kỳ,cultivation,stage,
普通,普通,Normal,通常,Phổ Thông,rarity,,Common items/traits
稀有,稀有,Rare,希少,Hiếm Có,rarity,,Uncommon items/traits
超稀有,超稀有,Super Rare,超希少,Siêu Hiếm,rarity,,Rare items/traits
传说,傳說,Legendary,伝説,Truyền Thuyết,rarity,,Legendary items/traits
金,金,Metal,金,Kim,element,,Also: Gold
木,木,Wood,木,Mộc,element,,
水,水,Water,水,Thủy,element,,
火,火,Fire,火,Hỏa,element,,
土,土,Earth,土,Thổ,element,,
冰,冰,Ice,氷,Băng,element,,Extended element
风,風,Wind,風,Phong,element,,Extended element
暗,暗,Dark,闇,Ám,element,,Extended element
雷,雷,Thunder,雷,Lôi,element,,Also: Lightning
邪,邪,Evil,邪,Tà,element,,Dark arts attribute
金灵根,金靈根,Metal Spiritual Root,金霊根,Kim Linh Căn,root,,
木灵根,木靈根,Wood Spiritual Root,木霊根,Mộc Linh Căn,root,,
水灵根,水靈根,Water Spiritual Root,水霊根,Thủy Linh Căn,root,,
火灵根,火靈根,Fire Spiritual Root,火霊根,Hỏa Linh Căn,root,,
土灵根,土靈根,Earth Spiritual Root,土霊根,Thổ Linh Căn,root,,
天灵根,天靈根,Heavenly Spiritual Root,天霊根,Thiên Linh Căn,root,,Rare - all-element affinity
雷灵根,雷靈根,Thunder Spiritual Root,雷霊根,Lôi Linh Căn,root,,
冰灵根,冰靈根,Ice Spiritual Root,氷霊根,Băng Linh Căn,root,,
风灵根,風靈根,Wind Spiritual Root,風霊根,Phong Linh Căn,root,,
暗灵根,暗靈根,Dark Spiritual Root,闇霊根,Ám Linh Căn,root,,
东,東,East,東,Đông,direction,,
南,南,South,南,Nam,direction,,
西,西,West,西,Tây,direction,,
北,北,North,北,Bắc,direction,,
正,正,Righteous,正,Chính,alignment,,Orthodox sects
中立,中立,Neutral,中立,Trung Lập,alignment,,
邪,邪,Evil,邪,Tà,alignment,,Demonic/Unorthodox
明心剑宗,明心劍宗,Bright Heart Sword Sect,明心劍宗,Minh Tâm Kiếm Tông,sect,name,Sword cultivation specialists
百兽宗,百獸宗,Hundred Beasts Sect,百獸宗,Bách Thú Tông,sect,name,Beast taming specialists
水镜宗,水鏡宗,Water Mirror Sect,水鏡宗,Thủy Kính Tông,sect,name,Divination and foresight
冥王宗,冥王宗,Underworld King Sect,冥王宗,Minh Vương Tông,sect,name,Death and netherworld arts
朱勾宗,朱勾宗,Crimson Hook Sect,朱勾宗,Chu Câu Tông,sect,name,Assassination and hidden weapons
合欢宗,合歡宗,Joy Union Sect,合歡宗,Hợp Hoan Tông,sect,name,Dual cultivation specialists
镇魂宗,鎮魂宗,Soul Suppression Sect,鎮魂宗,Trấn Hồn Tông,sect,name,Exorcism and soul arts
幽魂噬影宗,幽魂噬影宗,Phantom Shadow Sect,幽魂噬影宗,U Hồn Phệ Ảnh Tông,sect,name,Stealth and shadow arts
