id,name_id,desc_id,name,desc,sect_id
ID以4开头(400+sect_id),名称ID,描述ID,宗门驻地名称,宗门驻地描述,对应宗门ID
401,SECT_REGION_401_NAME,SECT_REGION_401_DESC,绝云峰,绝云峰群高插云海，峰间多以铁索与云桥相连，山道险绝，唯有真正稳住剑意的人才能登上更高处。半山可见试剑台、洗剑池与成片刻满剑痕的峭壁，越往峰顶，风声越利，偶有雷光掠过崖间。整座山门像一柄出鞘未归的古剑，清寒、峻拔，连空气里都仿佛带着锋芒。,1
402,SECT_REGION_402_NAME,SECT_REGION_402_DESC,万兽窟,万兽窟深藏群山腹地，外层是瘴气与藤蔓封锁的天然屏障，深入其中，才会见到层层下沉的洞天兽域。不同洞层以石桥、铁闸与驭兽台分隔，低沉兽吼与锁链碰撞声终日回荡，地上散落着碎骨、爪痕与尚未散尽的妖气。这里不像寻常山门，更像一座活着的巨兽巢城，每往下一层，压迫感便更重一分。,2
403,SECT_REGION_403_NAME,SECT_REGION_403_DESC,静海涯,静海涯悬在万丈海崖之上，寒冰灵玉筑成的殿阁、回廊与观潮台半隐于海雾之间，远望时仿佛整座山门都漂浮在潮声与月色里。崖边玉璧映照海天星辉，潮起潮落时，墙面与地面会泛起如水波般的微光，使路径显得虚实难辨。这里安静得近乎空无，只有浪声、风声与偶尔掠过檐角的铃响提醒来者仍在人间。,3
404,SECT_REGION_404_NAME,SECT_REGION_404_DESC,死寂海,死寂海由数座黑色群岛与暗潮海湾组成，岛间以狭长栈桥、残碑渡口和幽火灯塔相连，远远望去像一串漂在墨海上的鬼城。海面常年无风起浪，浪头卷起时夹杂着仿佛哭泣般的尖啸，岛上的殿宇与石阶则被潮湿阴雾侵染成灰白与幽青。夜里最醒目的不是月色，而是一盏盏引魂灯在海雾中明灭，把整片驻地照得像梦中黄泉。,4
405,SECT_REGION_405_NAME,SECT_REGION_405_DESC,千机谷,千机谷初看只是寻常山谷，青石路、飞檐楼阁与庭院花木都布置得极为精巧，可走近后才会发现桥会转向，墙会开合，连石阶的高低都暗藏机括。谷中高处设有哨塔与悬桥，低处则埋着暗道、工坊与密室，偶尔能听见齿轮咬合、金属轻鸣与不知从何处传来的木偶脚步声。这里最可怕的并非某一处杀机，而是整座山谷本身就像一件巨大的机关。,5
406,SECT_REGION_406_NAME,SECT_REGION_406_DESC,销金窟,销金窟藏于繁华闹市背后的独立洞天，入门是灯海、香雾、曲桥与层层叠叠的楼阁水榭，越往深处走，喧闹越轻，水声与乐声越显得绵长缠人。外层楼台金玉交辉，宾客如织；内里则有被轻纱、花墙与云雾隔开的静室、温泉与幻梦池，连道路都像故意引人迷失。这里处处柔美华贵，却又让人分不清自己究竟是在赴宴、入梦，还是已踏进某种更深的修行场。,6
407,SECT_REGION_407_NAME,SECT_REGION_407_DESC,普渡岛,普渡岛孤悬风暴海中央，岛外巨浪冲天、电光翻涌，岛内却被钟声与佛光压出一片近乎凝固的宁静。金刚塔立于全岛中心，四周分布着佛殿、石阶、海崖苦修台与临海渡口，塔顶金铃随海风长鸣，能把翻腾风暴一点点抚平。每当晨雾散开，金光洒在黑色礁石与青白殿宇上，整座岛便像从怒海里浮起的一尊镇邪法印。,7
408,SECT_REGION_408_NAME,SECT_REGION_408_DESC,暗影沼泽,暗影沼泽终年不见天光，毒雾、腐水与盘结古木把整片地域封得密不透风，外来者往往还未看见山门，就先被无处不在的阴影盯上。真正的驻地并不集中于地面，树冠之间藏着隐楼与吊桥，泥沼之下则埋有暗道、潜室和被瘴气遮住入口的据点。这里几乎没有完整开阔的视野，只有忽明忽暗的冷灯、漂浮不定的雾和随时可能吞掉脚步声的黑水。,8
409,SECT_REGION_409_NAME,SECT_REGION_409_DESC,多宝浮空岛,多宝浮空岛并非单一岛屿，而是由大小不一的浮空岛群组成，岛与岛之间以巨链、云桥和飞舟航道连成一座悬于高空的仙城。最外侧是往来不绝的云舟港与货场，中层遍布商街、拍卖楼与坊市，高处则矗立着终日喷涌炉火的炼器高塔。入夜之后，灯火沿锁链与空桥一路延伸到云层深处，整片驻地像一张铺在天上的金色商网，永远喧闹，永远运转。,9
