item_id,name_id,desc_id,name,weapon_type,grade,desc,effects
,名称ID,描述ID,名称,兵器类型,等级(练气/筑基/金丹/元婴),描述/提示词,JSON形式（支持宽松格式，见effects.py说明）
1001,WEAPON_1001_NAME,WEAPON_1001_DESC,练气剑,SWORD,QI_REFINEMENT,市井铁匠铺打造的铁剑，勉强能用。,{extra_battle_strength_points: 1}
1002,WEAPON_1002_NAME,WEAPON_1002_DESC,练气刀,SABER,QI_REFINEMENT,厚背砍刀，寻常武夫的最爱。,{extra_battle_strength_points: 1}
1003,WEAPON_1003_NAME,WEAPON_1003_DESC,练气枪,SPEAR,QI_REFINEMENT,白蜡杆制成，枪头挂着红缨。,{extra_battle_strength_points: 1}
1004,WEAPON_1004_NAME,WEAPON_1004_DESC,练气棍,STAFF,QI_REFINEMENT,普通的硬木棍，长与眉齐。,{extra_battle_strength_points: 1}
1005,WEAPON_1005_NAME,WEAPON_1005_DESC,练气扇,FAN,QI_REFINEMENT,文人雅士常用的折扇，附庸风雅。,{extra_battle_strength_points: 1}
1006,WEAPON_1006_NAME,WEAPON_1006_DESC,练气鞭,WHIP,QI_REFINEMENT,普通的皮鞭，多用于赶车或刑罚。,{extra_battle_strength_points: 1}
1007,WEAPON_1007_NAME,WEAPON_1007_DESC,练气琴,ZITHER,QI_REFINEMENT,桐木制成的古琴，音色尚可。,{extra_battle_strength_points: 1}
1008,WEAPON_1008_NAME,WEAPON_1008_DESC,练气笛,FLUTE,QI_REFINEMENT,紫竹削制，声音清脆。,{extra_battle_strength_points: 1}
1009,WEAPON_1009_NAME,WEAPON_1009_DESC,练气暗器,HIDDEN_WEAPON,QI_REFINEMENT,随处可见的铁制暗器。,{extra_battle_strength_points: 1}
1021,WEAPON_1021_NAME,WEAPON_1021_DESC,青霜剑,SWORD,FOUNDATION_ESTABLISHMENT,剑气森寒。,{extra_battle_strength_points: 2}
1022,WEAPON_1022_NAME,WEAPON_1022_DESC,水月刀,SABER,FOUNDATION_ESTABLISHMENT,刀身如水，映月无痕，虚实难辨，令对手捉摸不透。,{extra_battle_strength_points: 2}
1023,WEAPON_1023_NAME,WEAPON_1023_DESC,火尖枪,SPEAR,FOUNDATION_ESTABLISHMENT,枪头隐有火光，能引动凡火。,"{extra_battle_strength_points: 2, extra_max_hp: 50}"
