宗门名称,行事风格,总部,成员,功法,宝物
明心剑宗,明心剑宗为通玄界东方第一正道大宗，位列正道九宗之一，以无上剑道称雄于世。宗门崇尚玄门正宗，修行纯正真息，注重剑修传承与心性磨砺，强调道心坚定、品性端正、尊师重道，排斥心机深沉之徒。修行体系严谨，重视根基扎实，主张内外兼修、精气神三宝如一，推崇水磨工夫，不尚浮躁冒进。弟子需经严苛考验（如攀登坐忘峰）方可入门，修炼资源充裕，授徒贵精不贵多，专注精英培养。宗风光明正大，纪律严明，门规森然，对背叛师门、败坏清誉者绝不姑息，同时亦重情义、讲侠骨，护山阵法严密，战力凌厉果断。擅长阵法与阵法研究，尤以云纹、明心七禁纹、禁纹神通著称，结合血脉布局深远。宗门参与正派联盟事务，承担除魔卫道之责，在诛邪行动中威慑力极强，拥有顶尖战力钟隐及通玄第一神剑斩空神剑。整体氛围庄严而不失人情，既有仙家风范，亦存师门温情，对弟子既严格又回护，允许自由研习与灵活应对，但重大原则问题毫不妥协。,明心剑宗总部位于通玄界东方的连霞山脉，主峰包括坐忘峰、止观峰、观霞峰等七十二峰，其中坐忘峰与止观峰为核心重地。坐忘峰高逾五十万里，自成一界，天地元气随潮汐变化，设有启元堂供弟子修习，过半程即自动列入门墙；峰内有四季更替、飞禽走兽，东括东海百零八岛礁，北揽箕山，南至宵河，西达松岭，地域广袤。止观峰设‘未明观’为议事与修行中枢，以斩空神剑镇守阵眼，布九重阵法，统合亿万气机，具备移山倒海之威。宗门另有据点分布于夜摩天霜风谷、心园等地，代表参与通玄诸宗会盟，战略地位显赫。,"明彦, 清溟道人, 明松道人, 单智, 李珣, 清虚真人, 灵机, 文海, 祈碧, 孙皖, 钟隐仙师, 青吟, 林阁, 明玑, 明澜道人, 岳明风, 齐芸, 顾颦儿, 林无忧, 明德, 清阳, 清越, 伍灵泉, 灵木, 灵喆, 明如, 秦婉如, 古音, 青吟仙师, 明吉仙师, 明和, 李明和, 栖霞, 青鸾, 阴散人, 明惑, 颜水月, 灵吉, 婴宁, 灵竹, 闪灵儿, 明巩, 洛歧昌, 尹师妹, 宋师妹, 林师伯, 林阁师伯, 清溟, 锺隐, 明彦仙师, 明彦老道, 明心灵竹, 明玑回","流火赤金瞳, 天罗剑令, 洞玄剑诀, 灵犀诀, 内息搬运术, 四法三诀, 云纹阵法, 化气篇, 三化二真, 太上感应篇, 明玉真诀, 碧霄通达志, 披霞剑诀, 明纹, 山纹, 水纹, 晦纹, 金丹真息锁构体, 御剑飞行之术, 附灵之术, 引煞之术, 踏剑式, 驾云之术, 饲鹰心法, 青烟竹影, 明心剑宗心法, 千重嶂, 随波万里, 御剑, 七情火, 禁纹之术, 御剑飞行, 无情心, 极变阴阳法, 云纹, 绞魂丝, 碧灵掌, 太清神音, 土遁之术, 骨络通心之法, 极光玄真法, 一炷香（阵诀）, 无禁风（阵诀）, 悬空阵, 明心剑宗剑诀, 天一剑, 骨络通心之术, 刑天法剑, 指路幽灯, 青烟竹影百迭障, 玄门真息, 近身搏杀剑, 遥空剑气, 阵法, 阵法之道, 明心剑宗基础剑法, 驱魂炼魄通心大法, 明心灵竹, 御剑术, 洞玄剑法, 明心七禁纹, 明心剑宗诸多法门, 明心剑宗的隐形匿迹法门, 镇海八法, 七大阵法, 剑气圆融, 青烟竹影剑诀, 阵法秘要直指, 御剑搏杀, 心魔精进法, 玄门无上秘法, 明心剑诀, 子午剑罡, 丹霞劲, 藏星秘剑, 青烟障, 大五行寂灭雷光, 混元杵, 明心剑宗传讯飞剑术, 玄门正宗剑诀, 参商法, 破军仙剑剑气, 燃血元息, 明心剑宗内仅在清溟之下的战力, 三方六回阵法, 飞鸢牵魂之术, 海雨天风剑诀, 心照法剑, 斩空神剑","云袍, 坐忘石, 传讯剑符, 防身匕首, 丹药, 文海所赠刻有阵法的珠子, 青玉, 凤翎针, 玉辟邪, 逝水, 青玉剑, 九重石, 天冥化阴珠, 云楼揽月车, 透天水镜, 斩空神剑, 吞海灵犀, 明心剑, 长风哨, 参星盘, 苦竹, 通灵剑器, 龙纹印剑, 垂天钟, 斩空宝剑, 明心灵竹, 初雪剑, 苦竹宝剑, 破军仙剑, 青玉宝剑, 本命灵牌"
妙化宗,精擅音律杀伐与精神操控，功法诡谲阴柔，以音攻、惑神、心理压迫见长；行踪隐秘，手段凌厉，布局深远，威慑力强。表面文雅缥缈，实则深藏算计，善于言辞周旋与主动权掌控。作为散修盟会发起者，联合妖人、散修及妖凤、青鸾等势力对抗正道，具号召力与组织能力。宗风邪异而不拘常规，纵情声色，等级分明（如妙化五侍），重视宗主意志执行。内部存在叔侄权力斗争，但对外影响力广泛。,心园，位于通玄界北极夜摩之天核心落玉湖畔，四季如春，百花不谢，为宗门山门所在；内有亭台楼阁、丝竹不绝，镇有冰牢于北海水眼之上，是洞天中枢。,"古音, 玉散人, 妖凤, 青鸾, 羽侍, 古道人, 古志玄, 青吟, 宫侍, 商侍, 钟隐","种玉魔功, 阴符经, 七杀琴, 幽玄傀儡炼制法门, 勾魂蚀元神术, 玄婴度劫, 血融之术, 穿心曲, 惑神曲, 妙化四神曲, 造化魔功, 妙化宗法门","七杀琴, 避水珠, 冷锁乌金链, 玉美人"
幽魂噬影宗,邪道宗门，行事诡秘阴森，崇尚阴邪之术，擅长操控阴火、鬼道、咒灵与魂魄，精通寄魂转生、控神摄魂、驱尸炼魄等邪异秘法。宗门作风狠辣隐秘，注重权谋算计、内部竞争与实力压制，等级森严，派系倾轧激烈，对外树敌众多但善于借势布局。修炼方式偏邪，常以精血怨气奉养祖师咒灵，手段包括傀儡操控、幻术威慑、安插卧底、阴谋借刀杀人等。虽为邪宗，亦有制度化管理，如定期授业、祭祖大典与誓约控制，强调宗门存亡高于个体，必要时可玉石俱焚。被称作‘九真之首，第一邪宗’，与正道对立，唯利是图而不拘礼法，但重视传承、因果与祖师遗志。,位于通玄界西南的鬼门湖湖心岛，核心区域包括湖心地宫、祭台、化阴池及召灵钟，深达地下数十丈，通过法术连接沉于千里地底的化阴池。此地常年笼罩浅灰薄雾，环境阴森，充斥九幽地气，设有阵法阵法与虚空裂隙，是宗门举行祭祖大典、权力交接与秘法修行的圣地。周边势力范围涵盖腾化谷、北齐山剃刀峰等地，拥有灵脉、药圃、矿山等资源。曾因九幽噬界事件遭封界，宗门基业衰败，现处于封锁空间内。,"鬼先生, 李珣, 碧水君, 冥火阎罗, 毕如晦, 应采儿, 阎夫人, 归无藏, 叶如, 冥璃, 幽五省, 苍冥子长老, 阴馑长老, 幽狱长老, 百鬼道人, 栖霞元君, 血散人, 顾颦儿, 阎采儿, 阴拓, 阎湖, 阎如, 阎飙长老, 幽习长老, 幽离, 阎曾, 古音, 玉散人, 九幽老祖, 诸位长老, 大姓弟子, 低辈弟子, 百鬼, 水蝶兰, 冥火老儿, 血魔百鬼道人, 鬼机, 朱泓","幽明气, 寄魂转生, 镇派六法门, 幽冥录, 附魂引, 幽明阴火, 驱魂炼魄通心大法, 截空杀, 九幽搜魂, 黄泉恸鬼窟, 通幽鬼路, 阴阳转极化生炼法, 幽玄印, 幽玄傀儡, 平脉三法, 九幽穿石遁法, 慑魂魔音, 拘魂敕令, 噬影大法, 驱尸傀儡术, 控魂大法, 幽玄影身, 碧火流莹咒法, 压阵法诀, 幽火烛目, 不动邪心, 血魔化心大法, 离魂阴劫, 鬼灵火, 乱纹禁, 心血轮眼, 搜魂术, 幽玄大法, 鬼灵转生术, 惑神之术, 逆影遁法, 无底冥环, 骨络通心之法, 质气转换, 影傀儡, 离魂神音, 幽一, 吞精噬元之术, 阴火珠相关功法, 辨魂之术, 化阴池相关功法, 控神之法, 血神子, 燃血锻体, 锁魂勾, 血影妖身, 燃血元息, 控魂术, 勾魂术, 傀儡术, 抽髓之法, 引灵入体法门, 血魔秘术, 心符水印, 真息导引, 阵法纹路, 咒文符箓, 血神锻体, 幽域天障, 五极解封, 九幽噬界, 幽冥模式, 幽狱观想之术, 幽明气基础法诀, 无常索, 蚀心炼魂, 冥化神术, 绝息竭元之术, 水镜之术, 辨血识人, 血魇之术, 鬼火引, 幽明鬼火","幽冥录, 阴火（黑珠）, 化阴池, 天冥化阴珠, 尘风宝珠, 铜铃, 骷髅头骨, 幽玄傀儡（幽一、幽二等）, 七鬼铃, 天识轮, 智识珠, 鬼鸦剑, 无颜甲, 七鬼环, 阴火珠, 飞魂敕令, 玉辟邪, 行尸丹, 金丸神泥封禁的紫玉盒, 解咒玉简, 太素化阴玉液, 五遁障, 锁灵灰金石罩, 紫玉盒, 金丸神泥, 鬼门印, 曜魅环, 鬼门令, 雾松铁祭服, 天王伞模样的法宝, 天王伞, 祖师咒灵, 玄冥飞环, 定魂星, 乌金链, 冰风宝珠"
无心宗,行事隐秘，擅长伏击与心理战，常用障眼法和多重杀招突袭；修炼心火、命气等邪异功法，注重化五脏、融六腑、炼皮骨、销血肉，将肉体转化为先天命气。曾为避天劫植入蛟珠，积聚戾气，有阴谋手段。中落已久，仅靠宗主独力支撑，在强敌环伺下艰难生存，后被散修盟会攻破，濒临覆灭。传闻可能加入西联联盟，但实力不济，未受重视。,幽山七十二盘,"心殛子, 宫五, 宫六, 七无道人","化心火, 命气化七身, 心系（心脏化核）, 心炎, 先天命气, 心炎九转",魂火珠
三皇剑宗,正道名门，强势霸气，以武立宗，讲究威势与震慑，主张‘不战而屈人之兵’。擅长王道剑诀，剑法凌厉，注重实战与精英培养，弟子意志不屈，集体行动力强。重视宗门荣誉，对仇敌记恨久远，但为大局可让步。行事果断，宗主专决，长辈谨慎，不愿轻结后辈之仇。活跃于重大事件，参与镇压与调查，地位尊崇，为正道九宗之一。,位于赤城山，地处中南部，势力临近腾化谷东部，具备熟人网络与安全庇护能力。,"何志彦（天君）, 胡不离, 洛玉姬, 闵二山, 东阳山人, 洛岐昌, 龙首狂客, 洛无昌, 碧霄客, 萧怡, 梢英","王道剑诀, 叱雷天变, 海天八变, 三皇剑宗的剑诀","透音砂, 垂丝飞环"
冥王宗,邪道宗门，以阴邪鬼气为修行根基，与正道对立。手段阴狠，擅长阵法、驱妖摄鬼及隐秘行动，行事霸道，杀气森森，为达目的不择手段，常背后偷袭或发动突袭。组织严密，重视脸面，不容外宗插手事务。与幽魂噬影宗为死敌，同百鬼有血仇，曾参与西联联盟，可能与嗜鬼宗联合行动。,位于七鬼角的群岛上，四面临海，周围暗礁密布,"宋元敕, 元烁, 元难, 无尽冥主, 元樟, 惕无咎, 李元曦, 冥火阎罗, 冥思, 元苦, 元艰, 十八冥将, 两个灵尊, 四个冥将, 三位冥将","七鬼摄海破, 七冥星阵, 血神劫指, 镇派六法, 诛鬼刺",
天行健宗,正道宗门，专修浩然之气，行事正大光明，刚健果决，重视道义与同门情义，对邪道功法有强克制力。作风严谨守纪，注重传道授业与师门任务，坚持原则但能审时度势，不滥杀无辜。曾牵头发布“天罚令”，组织除魔联盟，彰显正义担当。接纳客卿谨慎，须名声极佳，门下弟子多稳重守礼，有君子之风。,位于不夜城后方，与明心剑宗防区相连。,"师兄, 刘师哥, 女修师妹, 何慕兰, 顾颦儿, 董明, 苏曜, 乾元先生, 庄楚, 水蝶兰, 大衍先生, 梅洁, 钟隐","浩然之气, 行神如空，行气如虹, 天行交感之阵, 五方神通感应, 太初剑诀, 青烟竹障, 元阳珠, 紫阳神剑, 百里飞剑, 红莲劫",
嗜鬼宗,邪道宗门，由幽魂噬影宗分裂而来，以鬼修为主，擅长冥化神术与阴气操控，行事阴狠诡谲、霸道。曾有意加入西联联盟，与冥王宗并列引发担忧，现或有与幽魂宗复合之议。,离恨天,"幽离, 阴馑, 鬼老三","噬影大法, 冥化神术",
落羽宗,杀手宗门，擅长暗杀、潜形匿迹与设伏，手段隐秘凌厉，以殡生印等绝技著称，行动不留痕迹。曾拥王牌杀手团队'二十四翎'，重视香火情分但亦有叛徒。奉行‘接手无悔’原则，一旦接任务或建立关系便不轻言放弃，高手可大规模集结行动。理念上追求杀中求道，断情绝性，游刃生死，但现任宗主素怀羽更重利益。掌握操控飞禽之术（如告死鸟）用于侦查预警，擅长灵体侦查与阵势配合，作风阴狠诡异而富有策略性，在大战中承担关键穿插任务。与朱勾宗并列为刺客类宗门，以轻功或遁术见长，有跑路之名。参与西联联盟，整体根基虚缈，立场摇摆，缺乏独立主张。,,"水蝶兰, 千机老怪, 素怀羽, 无名杀手, 百鬼道人, 黄, 青, 血, 玄, 素, 玄羽, 洪长老","千里无影, 殡生印, 落羽十杀技, 燃血元息","告死鸟, 搜神冰蚨, 子蚨, 母蚨"
回玄宗,当世第一阵法大派，以阵法阵诀与机关术结合见长，禁纹手法传承深厚，布设复杂阵法范围极广，技术独步天下。注重阵法推演与融合，讲究巧思妙用，追求举重若轻、峰回路转的实战效果。同时擅长炼丹制符，材料管控严格，资源珍贵。门风严谨，极重宗门尊严与宝物，对叛徒追杀到底，积极参与正道联合事务，具备强组织力与战术意识。,诸隐山,"玄符真人, 玄化真人","回玄妙手, 峰回路转","宗门宝物（具体名称未提）, 断续灵胶, 金击子, 返魂丹, 清心七巧散, 流莹丹, 辟路梭"
